key_i,key_j,roles,ransac_inliers,selected_matches,rmse_initial,rmse_affine,rmse_projective,median_projective,p95_projective
left:45,right:45,intra_pair,7949,40,268.976773673103,1.1309787504551916,0.8729659305221315,0.5791945012541202,1.959585060590157
left:46,right:46,intra_pair,7899,40,11.869515190943611,2.719096726451517,2.664371945100263,2.153781469275611,4.577054514608579
left:47,right:47,intra_pair,7880,40,239.71896712348865,0.7661918861713071,2.7000791513227758,2.099497165310268,4.706469600214468
left:48,right:48,intra_pair,7855,40,14.082966275080919,2.9064114055086394,4.031550545070968,3.3417682794611485,6.851984589673172
left:49,right:49,intra_pair,7961,40,110.42203003897208,2.2378423744833085,3.2625380998713456,1.9736208939237492,6.91950622250091
left:50,right:50,intra_pair,8117,40,28.095674298819073,4.523962990846431,2.3223754165658455,1.371028302842586,5.0908360543689195
left:51,right:51,intra_pair,8061,40,104.35520322594817,5.450538170545816,4.821967491511932,1.2134191106081433,13.0733627056982
left:52,right:52,intra_pair,8022,40,18.79697757781626,0.9460532977383896,1.5703320070657878,1.142151531015036,2.8375445722436634
left:53,right:53,intra_pair,7993,40,69.27192439666608,2.4163224596530264,1.7116983701685895,0.9945381555836034,3.8823250182711786
left:54,right:54,intra_pair,8111,40,71.78365607016153,3.4411804288667294,2.9196600612142682,1.162841660870338,7.543474330282473
left:55,right:55,intra_pair,7990,40,14.783984613716752,10.560429727729442,3.5669602012546036,2.9267393217573967,6.197492043887071
left:56,right:56,intra_pair,7835,40,19.227407692841272,5.1433832394103804,0.7780401597689183,0.5663030323322091,1.3999012020053823
left:57,right:57,intra_pair,7747,40,20.587069604723727,9.551748414468381,1.5219422805658525,0.9849490697699856,2.966776715206622
left:58,right:58,intra_pair,8080,40,87.67325698365526,4.516833382814457,0.7319945127668882,0.6923774364849267,0.9912238751518755
left:59,right:59,intra_pair,8128,40,21.498476783290105,6.808094530615433,1.7162800743507918,1.2801910238797367,3.190155876186635
left:60,right:60,intra_pair,8120,40,26.014352898243136,4.333056737096213,0.6570810127475587,0.4535662797714943,1.3007557823332385
left:61,right:61,intra_pair,8076,40,30.498539408855095,3.8201404415791047,1.076652964562752,0.6564326123854893,2.2480303834753785
left:62,right:62,intra_pair,8142,40,12.437978631608699,1.8067910465370618,1.1076438076246022,0.8678760962456722,1.9625224108099655
left:63,right:63,intra_pair,8205,40,111.44312670109628,1.654198492367484,0.9928584843561995,0.7250885348393975,1.7306181415817532
left:64,right:64,intra_pair,7960,40,83.00824226957891,3.6885594675694886,3.917087883632598,2.4821607245789368,7.87462108807125
left:65,right:65,intra_pair,7967,40,123.71680362428536,2.9898634995188256,4.440902893222937,3.3175612971531936,8.559019322077166
left:66,right:66,intra_pair,7927,40,149.37432178544282,1.7957139020179975,3.8364662121047575,2.604757310642249,8.008096518640142
left:67,right:67,intra_pair,7892,40,8.599965931474909,1.7774117636784306,4.872412067164257,4.128250676433533,8.6543231320237
left:68,right:68,intra_pair,7925,40,234.82158822858216,4.29706913313022,5.770797703015765,3.0996048479301743,13.197448072329479
left:69,right:69,intra_pair,7845,40,53.13011191627403,1.997084553206193,2.7998834842674687,1.6776536199162724,6.282217063444706
left:1,right:0,tree,695,40,1.7729617026554794,51.025669044677606,8.03412321262366,6.557173358595375,13.269457569677975
right:1,left:0,tree,626,40,2.249286958368468,117.36750698719733,9.438412369539098,8.112919666000332,14.589891766851274
left:2,right:1,tree,809,40,8.203275027775087,25.438621216677248,7.821172561581479,6.2314581873588795,14.619891805211093
right:2,left:1,tree,760,40,32.323983745346915,43.15035644519447,7.126658157673004,6.1666721039034424,11.575408770992437
left:2,right:0,strong,56,40,1.440325335929291,43.244865272815595,10.342184509035116,7.5846927291775605,18.724044013643983
right:2,left:0,strong,53,40,1.5485816567959274,130.3922522250853,12.183519497553423,9.458589688200016,22.02844501022492
left:3,left:2,tree,772,40,1.9039581197882927,31.12064701977975,4.6108095059379,3.843263099758358,8.008547064304542
right:3,right:2,tree,753,40,2.065454623681218,43.377899903898516,4.177460822890083,3.564502693545505,6.919190960469805
left:4,left:2,tree,69,40,1.9343381668417734,41.21846733918604,12.554235723295566,10.171333025928773,19.201446970570345
right:4,right:2,tree,65,40,1.7395086154777382,58.208794821752726,11.324249256328729,8.461962235862744,16.855512906495015
left:4,left:3,strong,600,40,24.368634831055893,14.063537035745282,4.4421536065537435,3.4836720241379884,7.977666795373652
right:4,right:3,strong,647,40,51.55724040464051,13.06185951938724,4.947912386059508,4.191073455238633,8.793966395349932
left:5,left:4,tree,537,40,14.920130844327499,22.4629920006118,5.5799616921496416,4.289734736146185,10.26641984479052
right:5,right:4,tree,583,40,13.03341256186753,26.74112642576167,6.230186531249562,4.6991391947482475,10.438844056209769
left:5,left:3,strong,140,40,1.900841328484559,12.774021342268501,6.9940007697304045,5.828605261005549,12.408990621504948
right:5,right:3,strong,133,40,1.7913313117570844,25.443265424823185,8.595217066366425,6.254923405343344,15.187457985654635
left:6,right:5,tree,200,40,1.1178239623626158,36.12897004433172,7.8916962799199535,6.305947270909956,16.083464451255892
right:6,left:5,tree,180,40,0.8145801694087277,32.395021523321226,9.216313780556943,6.799619047460032,18.583265233248078
left:7,left:6,tree,250,40,1.1807754496095337,20.380428192202935,14.855882798704581,12.877369816962249,24.1736820954855
right:7,right:6,tree,247,40,0.9737284616464646,11.779672711406334,10.900271924945407,7.996598905324514,19.75788328754562
left:8,left:7,tree,238,40,11.317850822957519,6.772103223819642,7.26398432448568,6.045986408151579,13.34733196407504
right:8,right:7,tree,258,40,13.423247734594801,7.920402604000779,10.37716129615226,6.256344402824615,20.73231531762366
left:8,left:6,strong,40,40,1.226859384826877,22.107037533713072,14.715274424013105,6.455698247816164,27.202814678124884
right:8,right:6,strong,43,40,1.0631883814583583,16.230139702299894,12.372917704745403,9.475177457572318,24.180979154286998
left:9,right:8,tree,235,40,1.1358011395490364,14.413768950323782,9.316863557725837,5.94026124586003,19.303901470213688
right:9,left:8,tree,240,40,0.8818118525054317,14.421890393154701,8.03436581249369,4.277604110770499,17.495934890713997
right:9,right:7,strong,43,40,121.83602957998465,19.159938985245557,18.747362232681905,9.17302020638651,33.42416368545093
left:10,right:9,tree,449,40,0.9653236956357979,15.872517732254577,9.161841550561425,7.966149735206309,16.127324324491468
right:10,left:9,tree,442,40,0.8158262223704679,13.601029808183503,8.796832903020825,6.926865775639532,15.442990106009034
left:11,left:10,tree,542,40,2.8688719523127055,12.385437662953619,5.56524558904055,3.9008591301753164,11.25458751500754
right:11,right:10,tree,533,40,1.9567399148301643,10.381225983705937,4.920491676040356,3.60493114293077,9.73956001963752
left:11,right:9,strong,119,40,0.9205391122059563,19.518609992516954,12.293252051726578,9.113336120357701,21.340282841677478
right:11,left:9,strong,118,40,0.6696981810989904,16.721244536228212,9.92415830936961,6.871153235703465,19.022517471490442
left:12,left:11,tree,492,40,868.6660839121744,12.594352766387683,4.2414916030022205,3.6951534718421115,7.69190745494597
right:12,right:11,tree,499,40,230.7131202600961,13.497545591109109,4.152131237690386,3.183313711296021,7.6469041447060855
left:12,right:10,strong,127,40,1098.3027212256839,18.172721430164092,5.72586237786289,5.48690276731853,8.489914196147927
right:12,left:10,strong,118,40,0.8549266506498521,19.431750435851544,5.645785018265902,4.317146563802044,9.278739802516235
