camera,frame,component,is_reference,a,b,c,d,e,f,g,h
left,13,0,False,-0.11780602075494549,-0.34334696992228403,1499.4463783807719,0.51421556862775,0.09115174449878191,-2314.761302260054,-0.000167887185319441,-3.902340770320476e-05
right,13,0,False,-0.1238423325937339,-0.3906956117118903,1656.4192956033687,0.5765524690218357,0.09952956113440112,-2580.379838793912,-0.0001605497047906455,-3.865385752968667e-05
left,14,0,False,-0.40085405705188454,-0.37678482793775003,2689.5123131363102,0.8081044050984351,-0.19920078190065205,-3249.195630891402,-0.00015947521163778647,2.9905443453047525e-06
right,14,0,False,-0.27513683191964233,-0.3861559356048292,2010.1001510138692,0.5919278777834758,0.009324839135442483,-2500.852624240331,-0.00017168693707051862,-2.4587905122331374e-05
left,15,0,False,-0.7711179504462774,0.31907291006863664,3291.217293799804,-0.05310114247097429,-0.9652075899172222,-2133.4554310089397,-4.8856727976012114e-05,0.00017478368730448147
right,15,0,False,-0.7747486011884566,0.28608921035876705,3291.499322894286,-0.06216145994413448,-0.9417516348612684,-2133.26926752129,-4.501885944395951e-05,0.00016310355857418194
left,16,0,False,-0.790844943697461,0.3261889639051591,2732.228175058534,0.044921625189793625,-0.7328374877251449,-1668.7726596641544,-6.05523922927589e-05,0.00019819736822715748
right,16,0,False,-0.7682636670880826,0.47569040128639856,3245.455862134365,-0.35724226022884265,-0.986803500728656,-1677.3194211709986,-5.957386447362836e-06,0.0001791973340871666
left,17,0,False,-0.806712665941099,0.47635869054238134,3290.4520464579373,-0.3685402696939051,-1.0031925687449785,-1378.5594873799614,-2.2878299778347757e-06,0.00017502881989254652
right,17,0,False,-0.8040219710894566,0.4369489720447706,3278.950400525079,-0.3735506770341552,-0.964378725605081,-1389.007396070563,7.833914090165545e-07,0.00016023502712873817
left,18,0,False,-0.8650643541120763,0.25936333903214276,2863.4526462533877,0.07275276328469889,-0.6977273263421304,-1330.2777231788991,-7.033350923898368e-05,0.00016394378326142412
