key_i,key_j,raw_matches,ratio_matches,mutual_matches,ransac_inliers,inlier_ratio,mean_reproj_error,coverage_i,coverage_j,selected_matches,verified,reason
left:46,right:42,10000,44,19,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:46,left:42,10001,51,23,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:46,right:42,10001,49,24,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:46,left:15,10000,68,40,19,0.475,0.9888444454678623,0.07192825128842796,0.06351753344807903,0,False,inlier_count
left:46,right:15,10000,62,36,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:46,left:15,10001,70,44,23,0.5227272727272727,1.0540745961579119,0.07607232627088076,0.06759046890339754,0,False,inlier_count
right:46,right:15,10001,72,43,20,0.46511627906976744,1.2053913819287316,0.08331451399407368,0.07365654004231556,0,False,inlier_count
left:46,left:10,10000,80,55,17,0.3090909090909091,1.6380354595492566,0.043504991319992636,0.034027510516994805,0,False,inlier_count
left:46,right:10,10000,71,47,18,0.3829787234042553,1.427861733499712,0.06772274132202395,0.056716380586997364,0,False,inlier_count
right:46,left:10,10001,75,46,14,0.30434782608695654,1.6513383848698113,0.07123764919954519,0.05748479237168767,0,False,inlier_count
right:46,right:10,10001,82,45,20,0.4444444444444444,1.377541449501747,0.09630076837187666,0.07427880228529476,0,False,inlier_count
left:46,left:8,10000,48,26,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:46,right:8,10000,43,23,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:46,left:8,10001,47,25,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:46,right:8,10001,43,25,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:47,right:47,10000,7935,7891,7880,0.9986060068432391,0.08343125046595647,0.9726681537669092,0.9726523078667735,40,True,accepted
left:47,left:46,10000,1257,1049,533,0.5081029551954243,1.6350355501199025,0.38781980932597104,0.38745500114958686,40,True,accepted
left:47,right:46,10000,1248,1038,568,0.5472061657032755,1.6796021747127037,0.4168892554295347,0.41426118998708333,40,True,accepted
right:47,left:46,10000,1241,1038,556,0.535645472061657,1.540495848324629,0.41556435455691626,0.4156554829241428,40,True,accepted
right:47,right:46,10000,1236,1011,532,0.5262116716122651,1.496956924028885,0.4089308634334311,0.40964525593381035,40,True,accepted
left:47,left:45,10000,254,190,105,0.5526315789473685,1.646977104279812,0.2860767202374329,0.28318978982794096,40,True,accepted
left:47,right:45,10000,249,187,93,0.49732620320855614,1.6631372252705237,0.24178344188321188,0.24118953439930868,40,True,accepted
right:47,left:45,10000,243,191,93,0.4869109947643979,1.5416072720339284,0.26264601969949153,0.2620147386886718,40,True,accepted
right:47,right:45,10000,236,185,91,0.4918918918918919,1.456822471134223,0.25117520598205323,0.2509438678119201,40,True,accepted
left:47,left:43,10000,39,9,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:47,right:43,10000,35,8,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:47,left:43,10000,43,10,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:47,right:43,10000,37,9,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:47,left:36,10000,143,112,39,0.3482142857142857,1.7470138248378402,0.21937731972103305,0.20488749044818785,0,False,inlier_count
left:47,right:36,10000,155,119,38,0.31932773109243695,1.4810815211641675,0.19728393433900607,0.1818218442852003,0,False,inlier_count
right:47,left:36,10000,166,125,41,0.328,1.6265981513969323,0.1834862944470693,0.1859930141898776,40,True,accepted
right:47,right:36,10000,156,120,44,0.36666666666666664,1.6031810914880857,0.32290554719490755,0.3128253302554691,40,True,accepted
left:47,left:37,10000,311,253,96,0.3794466403162055,1.6352891918268249,0.32137632134869526,0.30545952186761316,40,True,accepted
left:47,right:37,10000,312,255,99,0.38823529411764707,2.390108470619162,0.32140631150893356,0.30424442759228193,40,True,accepted
right:47,left:37,10000,317,264,102,0.38636363636363635,1.9560365656402752,0.3586051579009515,0.337837283508125,40,True,accepted
right:47,right:37,10000,338,278,98,0.35251798561151076,1.724292791732352,0.2918587336831294,0.2731303991903242,40,True,accepted
left:47,left:15,10000,53,28,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:47,right:15,10000,48,26,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:47,left:15,10000,46,25,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:47,right:15,10000,35,22,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:47,left:7,10000,40,13,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:47,right:7,10000,40,15,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:47,left:7,10000,42,16,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:47,right:7,10000,42,12,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:47,left:29,10000,35,11,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:47,right:29,10000,37,9,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:47,left:29,10000,34,12,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:47,right:29,10000,31,8,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:48,right:48,10000,7912,7860,7855,0.9993638676844784,0.07629668988525522,0.9463841441762252,0.9463795019303229,40,True,accepted
left:48,left:47,10000,756,629,268,0.4260731319554849,1.6034803557430743,0.23820474361047977,0.23502117960573116,40,True,accepted
left:48,right:47,10000,753,618,258,0.4174757281553398,1.7967739369714888,0.24353866709309197,0.24174899339280292,40,True,accepted
right:48,left:47,10000,731,612,259,0.42320261437908496,1.678571719899959,0.23370722630577984,0.23060537332783826,40,True,accepted
right:48,right:47,10000,746,632,250,0.39556962025316456,1.6104680583050768,0.32175727770667223,0.3283370572718312,40,True,accepted
left:48,left:46,10000,209,155,60,0.3870967741935484,1.3361690123750056,0.19289635671611077,0.195375321027636,40,True,accepted
left:48,right:46,10000,193,133,52,0.39097744360902253,1.5310141893815212,0.13575255203361258,0.13872998732340197,40,True,accepted
right:48,left:46,10000,209,164,73,0.4451219512195122,1.6517750507661466,0.20462329954726158,0.2065983421476979,40,True,accepted
right:48,right:46,10000,192,155,67,0.432258064516129,1.4270782076019586,0.18451882764281108,0.18592937150474836,40,True,accepted
left:48,left:44,10000,45,23,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:48,right:44,10000,51,24,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:48,left:44,10000,44,24,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:48,right:44,10000,47,24,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:48,left:36,10000,236,180,80,0.4444444444444444,1.6618330465834383,0.3540527876640131,0.3356529816918464,40,True,accepted
left:48,right:36,10000,238,179,75,0.41899441340782123,1.8684129944471428,0.3603786415949677,0.34315922701092466,40,True,accepted
right:48,left:36,10000,232,181,82,0.4530386740331492,2.234228528740535,0.4489166637826809,0.4240936094613605,40,True,accepted
right:48,right:36,10000,247,183,71,0.3879781420765027,1.5274924961165024,0.26792258310116135,0.2623039836097926,40,True,accepted
left:48,left:37,10000,155,128,56,0.4375,1.614109706260275,0.3179541916395923,0.29210664886035087,40,True,accepted
left:48,right:37,10000,169,131,50,0.3816793893129771,1.5539633312129957,0.22623697843335785,0.19961842937516874,40,True,accepted
right:48,left:37,10000,183,144,57,0.3958333333333333,1.7825599691935996,0.25968806880561407,0.24474781343849583,40,True,accepted
right:48,right:37,10000,174,141,54,0.3829787234042553,1.915868412193243,0.26323473253282204,0.24139356037545429,40,True,accepted
left:48,left:31,10000,27,10,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:48,right:31,10000,25,6,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:48,left:31,10000,26,6,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:48,right:31,10000,34,7,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:48,left:18,10000,72,48,20,0.4166666666666667,1.5196542091887089,0.22238632616025314,0.1937332409193613,0,False,inlier_count
left:48,right:18,10000,64,45,17,0.37777777777777777,1.723661160178232,0.28467748521910674,0.2378957388573332,0,False,inlier_count
right:48,left:18,10000,72,48,19,0.3958333333333333,1.4624513395492873,0.23482037567261307,0.2053357850049646,0,False,inlier_count
right:48,right:18,10000,65,46,17,0.3695652173913043,1.2993276086520218,0.08800177205334984,0.07392974346781903,0,False,inlier_count
left:48,left:15,10000,24,7,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:48,right:15,10000,28,11,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:48,left:15,10000,27,9,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:48,right:15,10000,36,14,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:48,left:24,10000,35,11,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:48,right:24,10000,31,5,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:48,left:24,10000,30,6,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:48,right:24,10000,24,7,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:48,left:35,10000,135,97,45,0.4639175257731959,1.5550156084575213,0.301005393629804,0.2876140334144402,40,True,accepted
left:48,right:35,10000,137,104,46,0.4423076923076923,1.7182375767469753,0.29372591659808234,0.2840263392993007,40,True,accepted
right:48,left:35,10000,146,103,44,0.42718446601941745,1.458408935931967,0.3006179041826065,0.29065280588264397,40,True,accepted
right:48,right:35,10000,148,103,43,0.4174757281553398,1.5498713709327816,0.2703190145886065,0.25618492715800184,40,True,accepted
left:48,left:14,10000,27,10,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:48,right:14,10000,26,12,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:48,left:14,10000,27,9,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:48,right:14,10000,28,10,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:49,right:49,10000,8012,7962,7961,0.9998744034162271,0.06958302518927134,0.9768547984788498,0.9768635561206926,40,True,accepted
left:49,left:48,10000,709,603,257,0.4262023217247098,1.5354735362794614,0.36152594890729295,0.3631536989213517,40,True,accepted
left:49,right:48,10000,733,610,298,0.4885245901639344,1.6541841769540169,0.5010835103978732,0.507217196772573,40,True,accepted
right:49,left:48,10001,709,587,273,0.46507666098807493,1.4900633194104653,0.5055205345011251,0.508748570402797,40,True,accepted
right:49,right:48,10001,732,612,272,0.4444444444444444,1.5611989163417987,0.513217154912235,0.5179263308152431,40,True,accepted
left:49,left:47,10000,125,97,34,0.35051546391752575,1.3735288598612438,0.1824340585937187,0.1856587068805468,0,False,inlier_count
left:49,right:47,10000,131,108,37,0.3425925925925926,1.1905897730126658,0.18914324044878975,0.19400979186648218,0,False,inlier_count
right:49,left:47,10001,113,89,29,0.3258426966292135,1.617325754042359,0.34993645186015376,0.35326079002063443,0,False,inlier_count
right:49,right:47,10001,118,92,35,0.3804347826086957,1.4451663482059764,0.1390499938810099,0.1423562781904899,0,False,inlier_count
left:49,left:45,10000,33,15,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:49,right:45,10000,29,9,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:49,left:45,10001,37,15,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:49,right:45,10001,28,8,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:49,left:35,10000,342,258,153,0.5930232558139535,1.5677863155453338,0.23294749384219973,0.21660499853529955,40,True,accepted
left:49,right:35,10000,349,249,164,0.6586345381526104,1.464706442942011,0.2073417327670539,0.19631523760916106,40,True,accepted
right:49,left:35,10001,350,266,155,0.5827067669172933,1.547466056261782,0.37576882098226083,0.3589070840658054,40,True,accepted
right:49,right:35,10001,342,257,152,0.5914396887159533,1.4878845220491124,0.2064013315728017,0.1956609193603662,40,True,accepted
left:49,left:34,10000,129,73,38,0.5205479452054794,1.7926464152824237,0.22969583648649916,0.22196425523115226,0,False,inlier_count
left:49,right:34,10000,142,95,41,0.43157894736842106,1.6881077742542618,0.2737716686696253,0.2678022382857524,40,True,accepted
right:49,left:34,10001,136,77,32,0.4155844155844156,1.5524404820160806,0.20628687046848368,0.21056303219873634,0,False,inlier_count
right:49,right:34,10001,144,98,42,0.42857142857142855,1.878066580391174,0.17203064439708035,0.1725871923744619,40,True,accepted
left:49,left:1,10000,23,5,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:49,right:1,10000,19,3,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:49,left:1,10001,25,10,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:49,right:1,10001,25,9,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:49,left:20,10000,40,18,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:49,right:20,10000,46,21,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:49,left:20,10001,47,26,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:49,right:20,10001,53,26,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:49,left:21,10000,41,11,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:49,right:21,10000,38,12,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:49,left:21,10001,39,12,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:49,right:21,10001,42,10,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:49,left:7,10000,23,10,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:49,right:7,10000,29,11,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:49,left:7,10001,32,16,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:49,right:7,10001,36,11,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:49,left:10,10000,40,11,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:49,right:10,10000,30,12,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:49,left:10,10001,32,12,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:49,right:10,10001,35,18,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:50,right:50,10000,8173,8120,8117,0.9996305418719211,0.06936969286484655,0.9670624020307114,0.9669393003540303,40,True,accepted
left:50,left:49,10000,1329,1141,830,0.7274320771253286,1.137785597239124,0.3482521277229492,0.33906642533764514,40,True,accepted
left:50,right:49,10000,1336,1153,828,0.7181266261925412,1.0861453215496704,0.47025950518457793,0.46155009693210597,40,True,accepted
right:50,left:49,10000,1337,1163,898,0.7721410146173688,1.352959912368639,0.2660546732483965,0.25766181421275314,40,True,accepted
right:50,right:49,10000,1341,1173,894,0.7621483375959079,1.4043167907045226,0.5507894323857246,0.548548812468598,40,True,accepted
left:50,left:48,10000,110,70,28,0.4,1.7762327080460432,0.07183912618043217,0.0702552680655749,0,False,inlier_count
left:50,right:48,10000,121,70,26,0.37142857142857144,1.4138016595861072,0.43587471356767155,0.4369458886303787,0,False,inlier_count
right:50,left:48,10000,104,76,26,0.34210526315789475,1.2406049011264075,0.3629445565228954,0.35469573257519915,0,False,inlier_count
right:50,right:48,10000,117,86,26,0.3023255813953488,1.0980931014673798,0.43099620586582854,0.4281061614405934,0,False,inlier_count
left:50,left:46,10000,35,10,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:50,right:46,10000,23,3,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:50,left:46,10000,34,8,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:50,right:46,10000,30,5,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
