key_i,key_j,roles,provenance,raw_matches,ratio_matches,ransac_inliers,inlier_ratio,mean_reproj_error,coverage_i,coverage_j,quality_score,selected_matches,observation_index
right:38,left:36,tree,tree,10002,302,78,0.430939226519337,1.6926289422953442,0.11474141493264087,0.12197114301762958,0.12764410728032682,40,260
left:38,right:17,loop,loop,10000,521,186,0.46153846153846156,1.8714109813052857,0.45038809917806555,0.42485308760003165,0.5481141437530632,40,261
left:38,left:17,loop,loop,10000,560,167,0.40931372549019607,1.7512415793668306,0.45150978604472725,0.42972457729028224,0.5146432264697723,40,262
left:38,right:18,loop,loop,10000,412,126,0.4666666666666667,1.4430351071811043,0.30633448298287863,0.2861022074029542,0.4481998420451746,40,263
left:38,left:18,loop,loop,10000,389,128,0.47058823529411764,1.6053153427909288,0.33399000602106527,0.3113637100235687,0.4435758947151911,40,264
left:38,left:37,strong,strong,10000,1278,418,0.39433962264150946,2.0189350791341854,0.4483868559562668,0.4591829342524031,0.5287915965774761,40,265
right:38,right:37,strong,strong,10002,1365,383,0.3431899641577061,1.2484191122714605,0.4653200008122533,0.4748987705874779,0.7611835716138046,40,266
left:38,right:9,strong,strong,10000,233,61,0.4552238805970149,1.5664945550988654,0.17659613461855034,0.1433642693074158,0.17194335858778387,40,267
right:38,left:9,strong,strong,10002,246,56,0.4666666666666667,1.533443150458439,0.14075301114967959,0.1137542219716827,0.13996375668834715,40,268
left:39,right:38,tree,tree,10000,1509,498,0.40096618357487923,1.639625479533002,0.6235855333162355,0.6030290970214172,0.9161675597271428,40,269
right:39,left:38,tree,tree,10000,1478,499,0.41069958847736626,1.6413141050559756,0.6369149347432439,0.6148620754599045,0.95614499204391,40,270
left:39,right:16,loop,loop,10000,405,149,0.5246478873239436,1.8098606521498974,0.4067067410592215,0.35472119852607226,0.515231594494625,40,271
right:39,left:16,loop,loop,10000,380,139,0.49642857142857144,1.8176772362821159,0.42993165762668445,0.37605502927357154,0.507530889412432,40,272
left:39,left:17,loop,loop,10000,295,104,0.5123152709359606,1.5004488966114347,0.3647736390289683,0.3261026233109554,0.5181944710145019,40,273
right:39,left:17,loop,loop,10000,291,104,0.5048543689320388,1.479881591323513,0.34178582423403175,0.3052516572299232,0.4846403470129192,40,274
left:39,right:15,strong,strong,10000,230,77,0.5238095238095238,1.5662500297448092,0.2813163935455068,0.2480542321694452,0.36142417436326163,40,275
right:39,left:15,strong,strong,10000,229,83,0.4911242603550296,1.5293286570469589,0.20823491981768155,0.18352819263232584,0.2611420797784224,40,276
left:39,right:37,strong,strong,10000,370,92,0.359375,1.499764684731449,0.2746926646528978,0.275359350816152,0.2983450644245607,40,277
right:39,left:37,strong,strong,10000,327,83,0.350210970464135,1.2300467244991662,0.262736664962694,0.2622549000753432,0.33083784977314784,40,278
left:40,right:39,tree,tree,10000,1462,612,0.5037037037037037,1.4790064095153377,0.5388142593697264,0.5198154379081065,1.1362617165913982,40,279
right:40,left:39,tree,tree,10000,1420,631,0.5338409475465313,1.6403819276665341,0.5622082431157197,0.5364600503689787,1.1258718388910463,40,280
left:40,left:15,loop,loop,10000,371,156,0.5416666666666666,1.6588953915648075,0.41955745510733955,0.36131990662348806,0.5965308605685222,40,281
right:40,left:15,loop,loop,10000,381,161,0.5570934256055363,1.9498157957159443,0.4160229033675192,0.35779661466935414,0.5200955035577158,40,282
left:40,right:16,loop,loop,10000,290,143,0.6137339055793991,1.8201035328856743,0.3969415049621185,0.34632736870769715,0.5803776402831873,40,283
right:40,right:16,loop,loop,10000,291,135,0.5844155844155844,1.7321537384810393,0.36751820638153737,0.31920786238579424,0.5290843776752001,40,284
left:40,right:38,strong,strong,10000,375,122,0.4552238805970149,1.7341987686236922,0.2969944998305821,0.2852217349245167,0.36028882076522023,40,285
right:40,left:38,strong,strong,10000,387,124,0.4714828897338403,1.8552472907975046,0.2818479377012207,0.27028166087082367,0.3316469118646782,40,286
left:40,right:12,strong,strong,10000,179,48,0.42105263157894735,1.6289061586308804,0.21852709148289895,0.17397411750016253,0.175015887701274,40,287
right:40,left:12,strong,strong,10000,173,48,0.4485981308411215,1.9349706896066163,0.12124533534401666,0.09145745916086785,0.08251915175374917,40,288
left:41,left:40,tree,tree,10001,1571,798,0.579100145137881,1.2461944434444925,0.601128392611164,0.5884676749634707,1.8276163852105916,40,289
right:41,right:40,tree,tree,10000,1566,722,0.5224312590448625,1.4305029599941423,0.510041337057622,0.5021111728825932,1.2072322453176456,40,290
right:41,left:15,loop,loop,10000,264,113,0.5330188679245284,1.7774288424033196,0.3899770848557866,0.32690999776598423,0.4643101833949957,40,291
left:41,left:15,loop,loop,10001,266,109,0.529126213592233,1.6764134619774296,0.32523737824769,0.27674369687552247,0.4105800657759903,40,292
left:41,right:39,strong,strong,10001,324,88,0.3651452282157676,1.7162576388190802,0.20739038196068063,0.19776220342922426,0.18886027147619824,40,293
right:41,left:39,strong,strong,10000,328,93,0.38114754098360654,1.5112717187041418,0.3686192162265165,0.3461068066728813,0.3965804817816038,40,294
left:42,right:40,tree,tree,10000,254,75,0.4601226993865031,1.508411609846663,0.29975515827093313,0.28004875913940186,0.3699547440325136,40,295
right:42,left:40,tree,tree,10000,255,96,0.5454545454545454,1.7714917948359814,0.24177361114031048,0.23074016325762473,0.3250169660033331,40,296
left:42,right:41,strong,strong,10000,521,187,0.5451895043731778,1.4506969327089816,0.2915691382737677,0.2800054661454301,0.5510275313485892,40,297
right:42,left:41,strong,strong,10000,497,200,0.5780346820809249,1.6918522261440296,0.37052076534175465,0.35687379594032087,0.6466249688384823,40,298
left:43,right:42,tree,tree,10000,1319,763,0.6746242263483643,2.0045139571619623,0.5462266042295777,0.5336129916319604,1.1922118133056707,40,299
right:43,left:42,tree,tree,10000,1255,709,0.6451319381255687,1.7141812934841267,0.4647420023362687,0.44874317014313814,1.1087704636045164,40,300
right:43,right:41,strong,strong,10000,119,43,0.48863636363636365,1.314760201295178,0.2035418047225487,0.18479832255878592,0.2599021190022641,40,301
left:44,left:43,tree,tree,10001,715,340,0.6525911708253359,1.2402188095715705,0.31135215687600176,0.304885821477112,0.9355963561332579,40,302
right:44,right:43,tree,tree,10000,692,373,0.6920222634508348,1.2705722917913072,0.36358456302809394,0.3567076778598676,1.1509768912485165,40,303
left:44,right:40,strong,strong,10001,424,151,0.4494047619047619,1.9208410576658772,0.3952901218812162,0.35376398805351816,0.41581383697832636,40,304
right:44,left:40,strong,strong,10000,413,169,0.5105740181268882,1.6421903073441773,0.3983696571348465,0.3945725038440952,0.6300423612080231,40,305
left:44,right:42,strong,strong,10001,321,114,0.49137931034482757,1.6198992032694914,0.3844611318752338,0.37236088938442896,0.5359480191611922,40,306
right:44,left:42,strong,strong,10000,352,125,0.5,1.5080171849003607,0.3122574012658919,0.301921789490251,0.48413835537486977,40,307
left:45,right:44,tree,tree,10000,908,375,0.4851228978007762,1.5722332351260992,0.40271855980691657,0.41495431087383916,0.7368189259878001,40,308
right:45,left:44,tree,tree,10000,922,421,0.5178351783517835,1.5771862141521928,0.38201932795086874,0.3940108593139754,0.7582114276321081,40,309
left:45,left:41,strong,strong,10000,153,51,0.5604395604395604,1.2863558409050455,0.1572941852847208,0.1645495712738006,0.27077827052888537,40,310
