image_i,image_j,inlier_count,pair_rmse_px,pair_median_error_px,pair_max_error_px
38,46,46,17.304625395036243,14.710119399450884,27.944266088002802
39,40,463,7.011953653971127,4.81798904941648,20.293834588990663
39,45,50,13.982393885546506,10.044013248226104,33.76125526993496
40,41,570,3.8447160219142726,1.9365704434794813,28.925770767306773
40,42,203,5.792048600486791,2.4213847173891505,22.11235684182089
40,44,67,8.71609302630375,4.639625114669955,25.120627628297477
41,42,564,4.539211499051413,2.3704685427138306,17.02515820234158
42,43,514,4.244965924283919,3.2868586936388193,11.58484318186032
42,44,222,4.364297636782051,3.7034598949592925,11.782997482841699
43,44,606,2.5572998372523954,1.250493064436377,22.2862016187489
43,69,52,5.890071507691194,2.240353278412644,11.7247482705053
44,45,262,6.979210091671731,2.9480376281020613,25.251932295148922
44,69,71,4.588641936022539,2.8712781536769074,16.007807577099914
45,46,372,20.337651504614954,20.688878132718585,36.97540881111386
45,67,36,12.978767931955142,6.771176480054371,29.31366089414075
45,68,47,6.175966295973075,3.291308744650942,13.635433533927916
46,47,362,13.759060224960145,6.623454109720421,45.49124798380961
46,67,45,19.564064396141312,11.076320658622809,54.15338557378703
47,48,199,21.317626225332482,20.6161631345458,40.882916098239804
47,66,53,22.69069883350022,16.79806727048599,68.46640736197594
48,49,569,10.187065836669893,7.330132807283062,26.25109576785936
48,65,44,13.026745629741184,5.136067894176839,29.720140259430853
49,50,965,9.971080703533882,8.603301348558425,22.072798943308126
49,64,213,7.360312570296939,5.646117619528903,18.227808451246958
50,51,1275,14.67537913659673,10.912288785813912,37.301979984375016
50,62,279,8.031266436629615,6.949487887844164,21.755137272268232
50,63,171,7.370512070250334,6.576277932449945,17.341154809234336
51,52,1705,11.606631526276734,10.075472914719874,23.453035423742744
51,61,176,8.774578306359716,7.651517389313637,17.84986475439235
52,53,1061,9.840185205285685,7.021518334893632,31.7138411273123
52,61,98,10.66976479040719,8.462340423559361,33.95897402909976
53,54,1139,11.396811459935401,10.202253562586554,25.877183013237097
53,60,117,10.282370725410292,8.892407858121073,20.61271644356329
54,55,1574,8.682070507891245,6.734877948075953,22.53126722423491
54,56,579,5.770900846217869,5.070295198466738,15.107068203950591
54,59,106,13.542006649934553,12.395770621321516,46.56454108325678
55,56,1318,6.595158645843363,4.902110619652889,25.48082993635343
56,57,1122,3.86754419928495,3.4553050453766834,14.650906116425391
56,58,350,5.6750651007722315,5.263464898988978,17.08866603462605
57,58,1485,3.3634102967956796,2.746146516280626,13.480426274735335
58,59,1104,7.415514224307641,6.4377519797597555,26.93124729139483
59,60,1258,9.471924052993076,8.138250059013396,20.717724515951517
60,61,1484,9.747054972314654,8.46198928313401,25.348243222474043
61,62,1427,10.696777710763316,8.459569676142932,40.41669757407106
